Mot,D?finition
l?abricot (m),apricot
l?alcool (m),alcohol
aller bien/mieux,to be well/better
la baguette,baguette
le beurre,butter
le bifteck,beefsteak
le b?uf,beef
le bol,bowl
le caf?,coffee/caf?
les c?r?ales (f),cereales
le champignon,mushroom
le chocolat,chocolate
la chose,thing/object
le chou-fleu,cauliflower
le citron,lemon
le c?ur,heart
la confiture,jam
la cr?me (solaire),(sun) cream
le croissant,croissant
la cuisine,kitchen
le d?jeuner,lunch
le d?ner,dinner
se droguer,to take drugs
l?eau min?rale (f),mineral water
en bonne forme,in good shape
avoir envie de,to feel like
la faim,hunger
Fatigu?,tired
la fourchette,fork
la fraise,strawberry
les frites (f),chips
les fruits de mer (m),seafood
le (non) fumeur,(no) smoker
le go?t,taste
Gras,fat
le haricot vert,green bean
le hors-d??uvre,appetizer
(s?) inqui?ter,to  worry
le jus de fruit,fruit juice
le l?gume,vegetable
la liste,list
Malade,ill
Manger,to eat
le m?dicament,medicine
l?ob?sit? (f),obesity
l??uf (m),egg
le pain,bread
le p?t?,pat?
la p?che,peach
les petits pois (m),peas
Plein,full
le poisson,fish
la pomme,apple
le porc,pork
Prendre,to take/have (food)
le r?gime,diet
le repas,meal
le riz,rice
Sain,healthy
Sans,without
la saucisse,sausage
Sauf,except
le sel,salt
la soif,thirst
les spaghettis (m),spaghetti
Sucr?,sweet
Surtout,especially/above all
la tarte,tart
la tomate,tomato
Tousser,to cough
la vanille,vanilla
le verre,glass
Vide,empty
la vitamine,vitamin
le yaourt,yoghurt
aider,to help
l?alimentation (f),food/diet
(s?) arr?ter,to stop/give up
la banane,banana
la bi?re,beer
le biscuit,biscuit
boire,to drink
le bonbon,sweet
la carotte,carrot
la cerise,cherry
les chips (m),crisps
le chocolat chaud,hot chocolate
le chou,cabbage
le cidre,cider
le coca,coke
le comprim?,tablet
le couteau,knife
la cr?pe,pancake
la cuill?re,spoon
dangereux,dangerous
d?licieux,delicious
la drogue,drug
l?eau (f),water
l?eau (non) potable,(non) drinkable water
en bonne sant?,in good health
?quilibr?,balanced
fatigant,tiring
fort,strong
frais,fresh
la framboise,raspberry
le fromage,cheese
fumer,to smoke
le g?teau,cake
go?ter,to taste
l?habitude (f),habit
l?h?pital,hospital
l?huile (f),oil
le jambon,ham
le lait,milk
la limonade,lemonade
avoir mal,to hurt
la maladie,illness
le m?decin,doctor
la nourriture,food
l?odeur (f),smell
ordinaire,ordinary
paresseux,lazy
les p?tes (f),pasta
le petit-d?jeuner,breakfast
la peur,fear
la poire,pear
le poivre,pepper
la pomme de terre,potato
le poulet,chicken
le raisin,grape
(se) relaxer,to relax
rester,to stay
r?ti,roast
la salade,salad
la sant?,health
le saucisson,dry sausage
le saumon,salmon
(se) sentir,to feel/smell
la soupe,soup
la sp?cialit?,speciality
le sucre,sugar
le tabac,tabacco
le th?,tea
tomber,to fall
la truite,trout
v?g?tarien,vegetarian
la viande,meat
le vin,wine
vivre,to live
l?adresse (f),address
l?ge (m),age
A?n?,eldest/oldest/older
Amical,friendly
l?anniversaire (m),birthday
(s?) appeler,to call (be called)
avoir ? ans,to be ? yrs old
Battre,to beat/hit
Bavarder,to talk
le beau-fr?re,brother-in-law
le b?b?,baby
la belle-soeur,sister-in-law
boucl?,curly
c?l?bre,famous
Cher,expensive
les cheveux (m),hair
le ch?mage,unemployment
conna?tre,to know/meet
le copain,(boy) friend
critiquer,to criticise
la date de naissance,date of birth
la demi-soeur,stepsister/half-sister
divorc?,divorced
?go?ste,selfish
(s?) entendre,to hear (get on)
la famille,family
la fille,girl
le fr?re,brother
les gens (m),people
la grand-m?re,grandmother
les grands-parents (m),grandparents
h?siter,to hesistate
l?homme (m),man
il s?agit de,it is about
joli,pretty
le lieu,place
les lunettes (de soleil) (f),(sun) glasses
mademoiselle,young lady/miss
la maman,mum
mari?,married
m?chant,bad/nasty/unkind
monsieur,gentleman/sir/mr
la naissance,birth
n?,born
le nom (de famille),name (surname)
l?oncle (m),uncle
les parents (m),parents
le passeport,passport
le petit ami,boyfriend
pleurer,to cry
poli,polite
le pr?nom,first name
refuser,to refuse
remercier,to thank
respecter,to respect
riche,rich
sans travail,unemployed
le sens de l?humour,sense of humour
seul,only/alone/lonely
la soeur,sister
sourire,to smile
sympa,nice
timide,shy
triste,sad
la v?rit?,truth
le visage,face
l?adulte (m/f),adult
aimable,kind/friendly
l?ami(e) (m/f),friend
l?amour (m),love
l?annonce (f),announcement/news
attendre,to wait
la barbe,beard
bavard,talkative
beau/belle,handsome/beautiful/attractive/
,good looking
le beau-p?re,father-in-law/stepfather
la belle-m?re,mother-in-law/stepmother
b?te,stupid
la carte d?identit?,ID card
le chat,cat
le cheval,horse
le chien,dog
le cochon d?inde,guinea pig
contribuer,to contribute
la copine,(girl) friend
la dame,lady
le demi-fr?re,stepbrother/half-brother
(se) disputer,to tell off (argue/quarrel)
?crire,to write
l?enfant (m/f),child
f?ch?,angry
la femme,woman
le fils,son
le gar?on,boy
gentil,kind/gentle
le grand-p?re,grandfather
